timestamp,cpu_percent,cpu_peak,cpu_low,cpu_avg,memory_rss,disk_read_mb,disk_write_mb,disk_read_count,disk_write_count,analysis
2025-02-19 12:34:33,5.0,77.2,0.0,14.38,486.57,0,0.0,37592,39133,"{'CPU Analysis': {'Average CPU Usage': '14.38%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '112.13'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76725'}, 'General': {'Monitoring Duration': '38.69 seconds', 'Total Samples': '35'}}"
2025-02-19 12:34:34,0.8,77.2,0.0,11.03,486.57,0,0.0,37592,39148,"{'CPU Analysis': {'Average CPU Usage': '11.03%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '110.66'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76740'}, 'General': {'Monitoring Duration': '39.80 seconds', 'Total Samples': '36'}}"
2025-02-19 12:34:35,0.8,77.2,0.0,1.65,486.57,0,0.0,37592,39150,"{'CPU Analysis': {'Average CPU Usage': '1.65%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '109.12'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76742'}, 'General': {'Monitoring Duration': '40.90 seconds', 'Total Samples': '37'}}"
2025-02-19 12:34:36,0.8,77.2,0.0,0.57,486.57,0,0.0,37592,39154,"{'CPU Analysis': {'Average CPU Usage': '0.57%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '106.99'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76746'}, 'General': {'Monitoring Duration': '42.00 seconds', 'Total Samples': '38'}}"
2025-02-19 12:34:37,10.6,77.2,0.0,3.89,486.57,0,0.0,37592,39159,"{'CPU Analysis': {'Average CPU Usage': '3.89%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '104.43'}, 'Memory Analysis': {'Current Memory Usage': '486.57 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76751'}, 'General': {'Monitoring Duration': '43.10 seconds', 'Total Samples': '39'}}"
2025-02-19 12:34:38,10.6,77.2,0.0,6.37,486.6,0,0.0,37592,39173,"{'CPU Analysis': {'Average CPU Usage': '6.37%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '102.26'}, 'Memory Analysis': {'Current Memory Usage': '486.6 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76765'}, 'General': {'Monitoring Duration': '44.21 seconds', 'Total Samples': '40'}}"
2025-02-19 12:34:40,29.8,77.2,0.0,10.94,486.6,0,0.0,37592,39175,"{'CPU Analysis': {'Average CPU Usage': '10.94%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '103.75'}, 'Memory Analysis': {'Current Memory Usage': '486.6 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76767'}, 'General': {'Monitoring Duration': '45.31 seconds', 'Total Samples': '41'}}"
2025-02-19 12:34:41,12.0,77.2,0.0,11.98,486.6,0,0.0,37592,39177,"{'CPU Analysis': {'Average CPU Usage': '11.98%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '101.93'}, 'Memory Analysis': {'Current Memory Usage': '486.6 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76769'}, 'General': {'Monitoring Duration': '46.41 seconds', 'Total Samples': '42'}}"
2025-02-19 12:34:42,0.8,77.2,0.0,9.33,486.6,0,0.0,37592,39179,"{'CPU Analysis': {'Average CPU Usage': '9.33%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '100.78'}, 'Memory Analysis': {'Current Memory Usage': '486.6 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76771'}, 'General': {'Monitoring Duration': '47.51 seconds', 'Total Samples': '43'}}"
2025-02-19 12:34:43,1.7,77.2,0.0,6.86,486.6,0,0.0,37592,39183,"{'CPU Analysis': {'Average CPU Usage': '6.86%', 'Peak CPU Usage': '77.2%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '99.5'}, 'Memory Analysis': {'Current Memory Usage': '486.6 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76775'}, 'General': {'Monitoring Duration': '48.62 seconds', 'Total Samples': '44'}}"
